Node-Id;Titel;Url;Bezugsquelle;Spider;Liste
14e44974-d800-4a5e-adcc-d2a3dafaf510;LebensNaherChemieUnterricht (LNCU);http://www.lncu.de/;Lebensnaher Chemieunterricht (LNCU);;whitelist
f324500c-c1d5-4f2e-a9c3-339231294e7a;Lehrer-Online;https://www.lehrer-online.de;lehreronline_spider;lehreronline_spider;whitelist
087a76dc-7b4d-4275-9bf4-f84e665eeee2;Lernen lernen - ein Online-Portal von WirLernenOnline für alle;https://wirlernenonline.de/portal/lernen-lernen/;;;whitelist
08809519-d0dc-4479-8e02-0b1b78b30a35;Lernroboter im Unterricht;https://www.uni-muenster.de/Lernroboter/video/index.shtml;wirlernenonline_spider;wirlernenonline_spider;whitelist
207e1070-5ad2-4ef9-be10-705ad2cef936;MB Lernwelt;https://mblernwelt.de;;;whitelist
a6db87df-9c1c-44e8-b9af-6259c03a4503;MINTdigital;https://www.mint-digital.de;;;whitelist
c1b506ca-4215-4b16-bfb3-ee64e2f7eae3;MOOLs – Digitale Lehrerfortbildungsreihe - Teach Economy;https://www.teacheconomy.de/lehrvideos/;;;whitelist
111fd317-ff8e-4136-9fd3-17ff8ee1360f;Material (OER) - kids.digilab.berlin;https://kids.digilab.berlin/material-oer/?utm_source=chatgpt.com;;;whitelist
cf8d87d0-4e76-41ce-8d87-d04e7681ce58;"Material für Lehrerfortbildungen zu den Themenfeldern ""Pädagogische Herausforderungen"" und ""Digitale Souveränität""";https://librepro.de/lehrerfortbildung-material;;;whitelist
22cdb0e8-f68d-4c74-a701-670d77402f44;Materialkompass | Verbraucherbildung.de;https://www.verbraucherbildung.de/materialkompass?search_api_fulltext=&field_main_topic%5B6797%5D=6797&field_main_topic%5B6799%5D=6799&field_grade_total%5B13%5D=13&field_grade_total%5B15%5D=15&page=#view-id-listing_materials;;;whitelist
50681bf9-f541-4c94-95e9-6ccd15fe5297;Materialnetzwerk eG (MNWeG);https://mnweg.org/;wirlernenonline_spider;wirlernenonline_spider;whitelist
05159d3a-645a-45f6-b852-d0c47c82349f;Materialsammlung Biochemie;https://www.lehrer-online.de/unterricht/sekundarstufen/naturwissenschaften/biologie/unterrichtseinheit/ue/materialsammlung-biochemie/;;;whitelist
50c85759-35af-4fde-80f0-7690cd4e952f;Materialsammlung Physiologie und Anatomie;https://www.lehrer-online.de/unterricht/sekundarstufen/naturwissenschaften/biologie/unterrichtseinheit/ue/materialsammlung-physiologie-und-anatomie/;;;whitelist
205674f8-69f2-4c88-8214-60970359a775;Media Smart;https://www.mediasmart.de/;wirlernenonline_spider;wirlernenonline_spider;whitelist
a02fb76b-5ef7-47f8-afb7-6b5ef7c7f8d0;Medienbildung im Unterricht: Unterrichtsmaterial für alle Schularten;https://www.br.de/sogehtmedien/index.html;;;whitelist
30a22438-f704-4312-8e48-1a0e995eca68;Medienportal der Siemens Stiftung;https://medienportal.siemens-stiftung.org/de/methoden;;;whitelist
